Model,Dataset,Train_Size,Seed,Best_Epoch,Train_F1,Val_Loss,Val_Acc,Val_F1,Overfit_Gap,Test_Acc,Test_F1,Maj_Baseline_Acc,Rand_Baseline_F1
LSTM,synthetic,50,100,76,1.0,0.0006127935776021332,1.0,1.0,0.0,1.0,1.0,0.56,0.5283018867924528
LSTM,bach,50,2026,35,0.9310344827586207,0.565243024379015,0.72,0.7307692307692308,0.20026525198938983,0.75,0.8,0.51,0.504950495049505
LSTM,bach,100,2026,12,0.7692307692307692,0.36771783605217934,0.84,0.8461538461538461,-0.07692307692307698,0.73,0.71,0.51,0.494949494949495
LSTM,synthetic,50,42,99,1.0,0.0005228221780271269,1.0,1.0,0.0,1.0,1.0,0.57,0.5327102803738318
LSTM,sst2,250,2026,1,0.7727272727272727,0.6616656482219696,0.56,0.717948717948718,0.054778554778554756,0.61,0.75,0.59,0.5412844036697249
LSTM,synthetic,500,2026,98,1.0,0.00019071258793701418,1.0,1.0,0.0,1.0,1.0,0.55,0.5238095238095238
LSTM,sst2,500,2026,1,0.7531172069825436,0.7234685570001602,0.62,0.7654320987654321,-0.01231489178288847,0.52,0.68,0.52,0.5098039215686274
LSTM,synthetic,10,2026,14,1.0,0.4553461764007807,0.76,0.7999999999999999,0.20000000000000007,0.66,0.76,0.57,0.5327102803738318
LSTM,bach,100,42,3,0.7906976744186046,0.5579891130328178,0.78,0.7843137254901961,0.006383948928408545,0.76,0.72,0.58,0.537037037037037
LSTM,sst2,50,100,3,0.759493670886076,0.6316383481025696,0.66,0.7951807228915663,-0.03568705200549027,0.51,0.68,0.51,0.504950495049505
LSTM,synthetic,50,2026,20,1.0,0.0006653741438640282,1.0,1.0,0.0,1.0,1.0,0.55,0.5238095238095238
LSTM,synthetic,100,100,98,1.0,0.00034821705776266754,1.0,1.0,0.0,1.0,1.0,0.53,0.5145631067961165
LSTM,sst2,10,2026,6,0.9473684210526316,0.6199177354574203,0.6,0.75,0.19736842105263164,0.7,0.82,0.7,0.5833333333333334
LSTM,bach,250,2026,9,0.7542372881355933,0.5014324262738228,0.76,0.7272727272727274,0.026964560862865916,0.57,0.73,0.56,0.5283018867924528
LSTM,synthetic,50,42,20,1.0,0.0008168130734702572,1.0,1.0,0.0,1.0,1.0,0.57,0.5327102803738318
LSTM,bach,250,2026,22,0.743362831858407,0.42038966715335846,0.82,0.7999999999999999,-0.05663716814159292,0.75,0.73,0.56,0.5283018867924528
LSTM,synthetic,500,2026,98,1.0,0.0001887327125587035,1.0,1.0,0.0,1.0,1.0,0.55,0.5238095238095238
LSTM,bach,100,100,30,0.813953488372093,0.4980156123638153,0.74,0.7111111111111111,0.10284237726098189,0.76,0.74,0.52,0.5098039215686274
LSTM,synthetic,100,2026,97,1.0,0.00034679824602790177,1.0,1.0,0.0,1.0,1.0,0.5,0.5
LSTM,bach,500,42,84,0.9308411214953272,0.293465081602335,0.9,0.9180327868852459,0.01280833461008124,0.88,0.87,0.51,0.504950495049505
LSTM,bach,10,100,9,1.0,0.5618833005428314,0.64,0.6086956521739131,0.3913043478260869,0.75,0.73,0.54,0.5192307692307693
LSTM,bach,10,42,12,0.4,0.6775041595101357,0.64,0.689655172413793,-0.289655172413793,0.68,0.7,0.52,0.5098039215686274
LSTM,synthetic,100,42,100,1.0,0.00038141763798194006,1.0,1.0,0.0,1.0,1.0,0.6,0.5454545454545454
LSTM,sst2,10,100,1,0.7142857142857143,0.6923179179430008,0.54,0.7012987012987013,0.012987012987012991,0.6,0.75,0.6,0.5454545454545454
LSTM,bach,500,2026,86,0.8531187122736418,0.30224116332829,0.84,0.851851851851852,0.001266860421789806,0.81,0.8,0.52,0.5098039215686274
LSTM,bach,50,2026,12,0.8307692307692307,0.5838500186800957,0.62,0.6545454545454547,0.17622377622377605,0.71,0.73,0.51,0.504950495049505
LSTM,synthetic,50,2026,20,1.0,0.0009184481168631464,1.0,1.0,0.0,1.0,1.0,0.55,0.5238095238095238
LSTM,synthetic,250,42,98,1.0,0.00022077340327086858,1.0,1.0,0.0,1.0,1.0,0.55,0.5238095238095238
LSTM,bach,500,42,24,0.8662674650698602,0.48087598755955696,0.84,0.8620689655172414,0.004198499552618751,0.84,0.82,0.51,0.504950495049505
LSTM,sst2,50,2026,8,0.9166666666666666,0.5737322643399239,0.62,0.7164179104477612,0.20024875621890548,0.69,0.8,0.65,0.5652173913043479
LSTM,bach,100,42,34,0.8661417322834646,0.5956016853451729,0.76,0.7999999999999999,0.06614173228346465,0.6,0.66,0.58,0.537037037037037
LSTM,bach,250,100,21,0.8823529411764706,0.3588785119354725,0.86,0.8813559322033899,0.0009970089730806375,0.77,0.8,0.51,0.494949494949495
LSTM,bach,10,100,12,1.0,0.520135797560215,0.74,0.7450980392156864,0.2549019607843136,0.75,0.74,0.54,0.5192307692307693
LSTM,sst2,500,100,1,0.7437185929648241,0.7080549597740173,0.64,0.7804878048780487,-0.036769211913224575,0.64,0.78,0.64,0.5614035087719298
LSTM,synthetic,250,100,100,1.0,0.00022258752869674936,1.0,1.0,0.0,1.0,1.0,0.55,0.4736842105263158
LSTM,synthetic,100,2026,100,1.0,0.0003648924612207338,1.0,1.0,0.0,1.0,1.0,0.5,0.5
LSTM,bach,50,42,47,0.9259259259259259,0.5413771867752075,0.7,0.6666666666666666,0.2592592592592593,0.7,0.73,0.8,0.6153846153846154
LSTM,bach,50,42,8,0.8461538461538461,0.5620342493057251,0.6,0.5,0.34615384615384615,0.8,0.8,0.8,0.6153846153846154
LSTM,sst2,50,42,9,0.9811320754716981,0.5306360721588135,0.8,0.8000000000000002,0.18113207547169796,0.6,0.67,0.7,0.37499999999999994
LSTM,sst2,50,42,9,0.9811320754716981,0.3419645428657532,0.8,0.7499999999999999,0.23113207547169823,0.6,0.6,0.7,0.37499999999999994
LSTM,synthetic,50,42,100,1.0,0.00042095239041373134,1.0,1.0,0.0,1.0,1.0,0.5,0.5
LSTM,synthetic,50,42,21,1.0,0.00039415954961441457,1.0,1.0,0.0,1.0,1.0,0.5,0.5
LSTM,sst2,10,2026,8,0.9473684210526316,0.5951159000396729,0.62,0.7654320987654321,0.18193632228719958,0.7,0.82,0.7,0.5833333333333334
LSTM,synthetic,500,42,95,1.0,0.00018887319311033934,1.0,1.0,0.0,1.0,1.0,0.56,0.5283018867924528
LSTM,synthetic,100,42,99,1.0,0.00037425448681460693,1.0,1.0,0.0,1.0,1.0,0.6,0.5454545454545454
LSTM,sst2,250,2026,1,0.7864077669902912,0.6561004668474197,0.56,0.717948717948718,0.0684590490415733,0.59,0.74,0.59,0.5412844036697249
LSTM,bach,250,42,62,0.8173913043478261,0.38052068650722504,0.76,0.7499999999999999,0.06739130434782625,0.79,0.81,0.59,0.5412844036697249
LSTM,sst2,100,100,1,0.6370370370370372,0.721843034029007,0.54,0.7012987012987013,-0.06426166426166413,0.58,0.73,0.58,0.537037037037037
LSTM,synthetic,50,100,18,1.0,0.0005270445981295779,1.0,1.0,0.0,1.0,1.0,0.56,0.5283018867924528
LSTM,synthetic,500,100,90,1.0,0.00018418496256344952,1.0,1.0,0.0,1.0,1.0,0.53,0.5145631067961165
LSTM,synthetic,250,2026,98,1.0,0.0002093122311634943,1.0,1.0,0.0,1.0,1.0,0.56,0.46808510638297873
LSTM,sst2,100,42,2,0.7730061349693252,0.6187134832143784,0.62,0.7654320987654321,0.007574036203893186,0.54,0.7,0.54,0.5192307692307693
LSTM,sst2,50,42,2,0.7654320987654321,0.5849523097276688,0.64,0.7804878048780487,-0.01505570611261664,0.56,0.72,0.56,0.5283018867924528
